;_id;instance;class;frequency;pidspread;pldspread;modifications
105;1231983;shoshanna;protagonist;1;1;1;['p12a']
106;200904680;shell;api';1;1;1;['p1']
107;221701292;shown;closure;16;4;6;['p5', 'p5p10', 'p5', 'p5', 'p5', 'p5', 'p3a', 'p5', 'p8a']
108;460714625;shin;opponent;1;1;1;['p3a']
109;355208782;sirjunlegun;joke;1;1;1;['p8a']
110;323526698;skirt;wee;10;2;8;['p8ap8b']
111;395114780;smoker;plenty;4;3;3;['p3a', 'p36', 'p2', 'p36']
112;133764921;something;catchy;5;3;5;['p15bp23bp43']
113;289879047;song;amazonmp3;1;1;1;['p8a']
114;454218307;song;moreover;8;4;8;['p34p23dp23b', 'p5', 'p34']
115;216545977;sponsorship;monetization;2;1;1;['p2', 'p2']
116;405500113;spence;olb;2;2;2;['p36p8b']
117;180629234;stx-expr;identifier;1;1;1;['p8a']
118;31025489;superintendence;service;7;2;4;['p1p28b', 'p1']
119;345949982;superamp;clarity;1;1;1;['p8b']
120;38102990;talking;greed;3;1;3;['p28c']
121;186131433;tactical;re-barrel;1;1;1;['p21d']
122;491593525;taylor;mass;2;2;2;['p8ap27a']
123;454345438;tcus;foothill;4;1;4;['p3a', 'p3a']
124;92851291;tell;place;15;4;14;['p8ap20ap43', 'p20a', 'p20a', 'p8a', 'p20a', 'p8a', 'p8a', 'p8a', 'p8a', 'p8a', 'p8a', 'p8c']
125;167460271;teat;idea;2;2;2;['p26', 'p8a']
126;288516246;team;valentine;2;2;2;['p21dp8a']
127;396940537;thibet;tartar;1;1;1;['p1']
128;491588299;tidbit;aide;1;1;1;['p4']
129;233598138;top;moments;1;1;1;['p8a']
130;382170220;tomorrow;fine;2;2;2;['p25p8a']
131;493033152;toilet;pink;4;2;4;['p8a', 'p8a', 'p8b', 'p8a']
132;14431636;trouville;candy;1;1;1;['p43']
133;407964660;truthfulness;cost;1;1;1;['p3a']
134;420639686;unlock;motivator;2;1;2;['p8a', 'p8a']
135;199660983;venue;odds;3;3;3;['p7p5p1']
136;218064825;venezuelum;however;5;2;5;['p2p3a']
137;89573263;your;alena;2;1;2;['p8a', 'p8a']
138;224542410;yodel;shearer;1;1;1;['p3a']
