;_id;instance;class;frequency;pidspread;pldspread;modifications
10;478528313;bellieve;animal;1;1;1;"[{""_id"":{""$numberLong"":""478528313""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p4;"",""plds"":""friendsofanimals.org;"",""provids"":""391854878;""}]"
11;508437025;because;unfalsifiability;1;1;1;"[{""_id"":{""$numberLong"":""508437025""},""ipremod"":""point"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""of darwinism"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p12a;"",""plds"":""antievolution.org;"",""provids"":""389901367;""}]"
12;406763901;bonnie;all;2;2;2;"[{""_id"":{""$numberLong"":""406763901""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":2.0,""pidspread"":2,""pldspread"":2,""pids"":""p25;p20c;"",""plds"":""fanfiction.net;blogspot.com;"",""provids"":""195120195;439802125;""}]"
13;260333613;brush;maybelline;2;2;2;"[{""_id"":{""$numberLong"":""260333613""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":2.0,""pidspread"":2,""pldspread"":2,""pids"":""p2;p3a;"",""plds"":""blogspot.com;makeupalley.com;"",""provids"":""345331532;358778467;""}]"
14;281721135;bus;gay;4;4;4;"[{""_id"":{""$numberLong"":""281721135""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":4.0,""pidspread"":4,""pldspread"":4,""pids"":""p36;p21d;p8a;p3a;"",""plds"":""godlikeproductions.com;autostraddle.com;ihav.net;tvtropes.org;"",""provids"":""361380051;166776769;289380254;332089640;""}]"
15;340268455;buddy;authority;1;1;1;"[{""_id"":{""$numberLong"":""340268455""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""delta"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p3a;"",""plds"":""gjsentinel.com;"",""provids"":""442298020;""}]"
16;105870566;caesar;emperors;3;3;3;"[{""_id"":{""$numberLong"":""105870566""},""ipremod"":""julius"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":3.0,""pidspread"":3,""pldspread"":3,""pids"":""p5;p23c;p3a;"",""plds"":""hostelworld.com;psychic-delia.com;wordpress.com;"",""provids"":""34709553;191358866;22092812;""}]"
17;239830292;cameo;ah;1;1;1;"[{""_id"":{""$numberLong"":""239830292""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""fun favor"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8b;"",""plds"":""comicbookmovie.com;"",""provids"":""5334477;""}]"
18;390086334;catlin;outcry;1;1;1;"[{""_id"":{""$numberLong"":""390086334""},""ipremod"":""famous artist george"",""ipostmod"":"""",""cpremod"":""national"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p3a;"",""plds"":""dailykos.com;"",""provids"":""22699006;""}]"
19;469835874;car;filed;1;1;1;"[{""_id"":{""$numberLong"":""469835874""},""ipremod"":""rental"",""ipostmod"":"""",""cpremod"":""police report"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8b;"",""plds"":""wikilaw3k.org;"",""provids"":""399750504;""}]"
20;376011379;chica;kinky;1;1;1;"[{""_id"":{""$numberLong"":""376011379""},""ipremod"":""lil"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""little girl"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""keezmovies.com;"",""provids"":""260397128;""}]"
21;341270445;cilantro;yummies;1;1;1;"[{""_id"":{""$numberLong"":""341270445""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p7;"",""plds"":""blogspot.com;"",""provids"":""45701752;""}]"
22;20195798;crazed;bestseller;1;1;1;"[{""_id"":{""$numberLong"":""20195798""},""ipremod"":""techno"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""on all romance"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""sarahmakela.com;"",""provids"":""333118280;""}]"
23;273170832;cupcake;miette;1;1;1;"[{""_id"":{""$numberLong"":""273170832""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p34;"",""plds"":""blogspot.com;"",""provids"":""89723854;""}]"
24;308939360;drug;qsymia;1;1;1;"[{""_id"":{""$numberLong"":""308939360""},""ipremod"":""obesity"",""ipostmod"":"""",""cpremod"":""vivus"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23c;"",""plds"":""fool.com;"",""provids"":""174092799;""}]"
25;493068154;dragon;move;35;10;26;"[{""_id"":{""$numberLong"":""493068127""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":6.0,""pidspread"":2,""pldspread"":6,""pids"":""p5;p34;"",""plds"":""cheatsguru.com;flashingblade.net;blogspot.com;dragcave.net;pokecommunity.com;wordpress.com;"",""provids"":""376318133;118220359;251486954;67092994;375386583;375475253;""},{""_id"":{""$numberLong"":""493068128""},""ipremod"":""getter"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":2.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""tvtropes.org;"",""provids"":""368526447;129239893;""},{""_id"":{""$numberLong"":""493068129""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""custom"",""cpostmod"":"""",""frequency"":2.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""rpgnow.com;"",""provids"":""450734728;249350068;""},{""_id"":{""$numberLong"":""493068130""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""strongest"",""cpostmod"":""while technician"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p21a;"",""plds"":""neoseeker.com;"",""provids"":""275021218;""},{""_id"":{""$numberLong"":""493068131""},""ipremod"":""yugis winged"",""ipostmod"":"""",""cpremod"":""few character-specific signature"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""honestgamers.com;"",""provids"":""44572998;""},{""_id"":{""$numberLong"":""493068132""},""ipremod"":"""",""ipostmod"":""related stuff"",""cpremod"":""popular"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""openthetoy.com;"",""provids"":""385201476;""},{""_id"":{""$numberLong"":""493068133""},""ipremod"":"""",""ipostmod"":""in exchange"",""cpremod"":""huge"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""notsodaily.com;"",""provids"":""39317787;""},{""_id"":{""$numberLong"":""493068134""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""new"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p34;"",""plds"":""sputnikmusic.com;"",""provids"":""44192608;""},{""_id"":{""$numberLong"":""493068135""},""ipremod"":""golden"",""ipostmod"":"""",""cpremod"":""spectacular"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p10;"",""plds"":""lcsd.gov.hk;"",""provids"":""389969595;""},{""_id"":{""$numberLong"":""493068136""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""auxiliary"",""cpostmod"":""against pokemon"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""smogon.com;"",""provids"":""335851176;""},{""_id"":{""$numberLong"":""493068137""},""ipremod"":""various ou"",""ipostmod"":"""",""cpremod"":""ice-type"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""pokecommunity.com;"",""provids"":""274985095;""},{""_id"":{""$numberLong"":""493068138""},""ipremod"":""situation shoryuken"",""ipostmod"":"""",""cpremod"":""solid"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""eventhubs.com;"",""provids"":""324975415;""},{""_id"":{""$numberLong"":""493068139""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""type"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""thetoptens.com;"",""provids"":""120189061;""},{""_id"":{""$numberLong"":""493068140""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""filler"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""pokemon-online.eu;"",""provids"":""198031568;""},{""_id"":{""$numberLong"":""493068141""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""suprising"",""cpostmod"":""for jirachus"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""pokemondb.net;"",""provids"":""368523336;""},{""_id"":{""$numberLong"":""493068142""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""smart"",""cpostmod"":""for ken"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8b;"",""plds"":""blogspot.com;"",""provids"":""208816739;""},{""_id"":{""$numberLong"":""493068143""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""popular"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23a;"",""plds"":""pokemondb.net;"",""provids"":""250966096;""},{""_id"":{""$numberLong"":""493068144""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""of every type"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p25;"",""plds"":""pokecommunity.com;"",""provids"":""126497893;""},{""_id"":{""$numberLong"":""493068145""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""smart"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8b;"",""plds"":""blogspot.com;"",""provids"":""152449311;""},{""_id"":{""$numberLong"":""493068146""},""ipremod"":"""",""ipostmod"":""in the eye"",""cpremod"":""bold"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""deviantart.com;"",""provids"":""133162553;""},{""_id"":{""$numberLong"":""493068147""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""best"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p34;"",""plds"":""cheatmasters.com;"",""provids"":""192294030;""},{""_id"":{""$numberLong"":""493068148""},""ipremod"":""water"",""ipostmod"":"""",""cpremod"":""didn't haku use"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""animesuki.com;"",""provids"":""101486135;""},{""_id"":{""$numberLong"":""493068149""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""smart"",""cpostmod"":""of course"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p25;"",""plds"":""animesuki.com;"",""provids"":""210165129;""},{""_id"":{""$numberLong"":""493068150""},""ipremod"":""komodo"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""washingtonian.com;"",""provids"":""39277270;""},{""_id"":{""$numberLong"":""493068151""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""notch coverage"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p2;"",""plds"":""smogon.com;"",""provids"":""192279900;""},{""_id"":{""$numberLong"":""493068152""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""4th gen"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p1;"",""plds"":""serebiiforums.com;"",""provids"":""74748796;""},{""_id"":{""$numberLong"":""493068153""},""ipremod"":""triple"",""ipostmod"":"""",""cpremod"":""new"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""wikipedia.org;"",""provids"":""380787358;""},{""_id"":{""$numberLong"":""493068154""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""good"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8b;"",""plds"":""mangahelpers.com;"",""provids"":""410735967;""}]"
26;255433140;dimensions;chance;1;1;1;"[{""_id"":{""$numberLong"":""255433140""},""ipremod"":""swimming pool"",""ipostmod"":"""",""cpremod"":""good"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""isport.com;"",""provids"":""365163363;""}]"
27;345889853;defender;however;15;8;14;"[{""_id"":{""$numberLong"":""345889842""},""ipremod"":""public"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":3.0,""pidspread"":3,""pldspread"":3,""pids"":""p5;p2;p1;"",""plds"":""progressive.org;federalpracticemanual.org;prisontalk.com;"",""provids"":""195310275;126454374;131641015;""},{""_id"":{""$numberLong"":""345889843""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":2.0,""pidspread"":2,""pldspread"":2,""pids"":""p5;p2;"",""plds"":""thanhniennews.com;neopets.com;"",""provids"":""119575283;444715457;""},{""_id"":{""$numberLong"":""345889844""},""ipremod"":"""",""ipostmod"":""in a man"",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23d;"",""plds"":""whatifsports.com;"",""provids"":""68834315;""},{""_id"":{""$numberLong"":""345889845""},""ipremod"":""other veteran"",""ipostmod"":"""",""cpremod"":""case"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p2;"",""plds"":""pucksage.com;"",""provids"":""402287544;""},{""_id"":{""$numberLong"":""345889846""},""ipremod"":""aggressive"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23d;"",""plds"":""bleacherreport.com;"",""provids"":""444874571;""},{""_id"":{""$numberLong"":""345889847""},""ipremod"":""great perimeter"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23a;"",""plds"":""bleacherreport.com;"",""provids"":""188494294;""},{""_id"":{""$numberLong"":""345889848""},""ipremod"":""dime"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23e;"",""plds"":""go.com;"",""provids"":""287120804;""},{""_id"":{""$numberLong"":""345889849""},""ipremod"":""average"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p24;"",""plds"":""isportsweb.com;"",""provids"":""325519615;""},{""_id"":{""$numberLong"":""345889850""},""ipremod"":""human rights"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p2;"",""plds"":""coe.int;"",""provids"":""372771235;""},{""_id"":{""$numberLong"":""345889851""},""ipremod"":""effective run"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23d;"",""plds"":""draftexaminer.com;"",""provids"":""19390954;""},{""_id"":{""$numberLong"":""345889852""},""ipremod"":""valiant"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p2;"",""plds"":""blogspot.com;"",""provids"":""399110495;""},{""_id"":{""$numberLong"":""345889853""},""ipremod"":"""",""ipostmod"":""of the"",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""baptistnews.com;"",""provids"":""76123933;""}]"
28;499955920;despot;band;1;1;1;"[{""_id"":{""$numberLong"":""499955920""},""ipremod"":""sacred"",""ipostmod"":"""",""cpremod"":""serviceable"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""docstoc.com;"",""provids"":""312563552;""}]"
29;389050924;danmiy;best-turned-out-man;1;1;1;"[{""_id"":{""$numberLong"":""389050924""},""ipremod"":""marshall"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""in america"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p12a;"",""plds"":""ufl.edu;"",""provids"":""87715240;""}]"
30;466309901;da';model;1;1;1;"[{""_id"":{""$numberLong"":""466309901""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""dynabrade palm sander"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""hotrodders.com;"",""provids"":""246456745;""}]"
31;493445912;effect;nate;1;1;1;"[{""_id"":{""$numberLong"":""493445912""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""power food gregarious"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""kitchenparade.com;"",""provids"":""258608066;""}]"
32;140679423;et;attitude;1;1;1;"[{""_id"":{""$numberLong"":""140679423""},""ipremod"":""reliance tj"",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p24;"",""plds"":""history.ac.uk;"",""provids"":""454914816;""}]"
33;413288236;everytime;location;1;1;1;"[{""_id"":{""$numberLong"":""413288236""},""ipremod"":"""",""ipostmod"":""a bomb"",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8a;"",""plds"":""programmersheaven.com;"",""provids"":""10240430;""}]"
34;14220439;execution;being;4;4;4;"[{""_id"":{""$numberLong"":""14220436""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":""as prop"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p5;"",""plds"":""threatswatch.org;"",""provids"":""181376908;""},{""_id"":{""$numberLong"":""14220437""},""ipremod"":""state-sponsored"",""ipostmod"":"""",""cpremod"":""human"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p3a;"",""plds"":""huffingtonpost.com;"",""provids"":""293624348;""},{""_id"":{""$numberLong"":""14220438""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""time"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p2;"",""plds"":""wordpress.com;"",""provids"":""239715226;""},{""_id"":{""$numberLong"":""14220439""},""ipremod"":"""",""ipostmod"":""the empire"",""cpremod"":""criminal human"",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p23d;"",""plds"":""religion-online.org;"",""provids"":""203211093;""}]"
35;19194895;extent;smart-mode;1;1;1;"[{""_id"":{""$numberLong"":""19194895""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":"""",""cpostmod"":"""",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p36;"",""plds"":""phoronix.com;"",""provids"":""95899172;""}]"
36;247606769;fau;week;1;1;1;"[{""_id"":{""$numberLong"":""247606769""},""ipremod"":"""",""ipostmod"":"""",""cpremod"":""important"",""cpostmod"":""because ground"",""frequency"":1.0,""pidspread"":1,""pldspread"":1,""pids"":""p8b;"",""plds"":""rivals.com;"",""provids"":""146884477;""}]"
